cue_id,domain,cue_family,pattern,example_phrase,source_bucket,source_ref,rationale,weight,review_status,include
CUE_001,pressure-risk,temporal_urgency,\bact now\b,act now,dark_patterns_taxonomy; advertising_substantiation_literature,Gray et al. (2018); Mathur et al. (2019); FTC truth-in-advertising materials,Direct imperative time-pressure phrase used as a surface-level proxy for rushed decision pressure.,1.0,prefilled,1
CUE_002,pressure-risk,temporal_urgency,\bact today\b,act today,dark_patterns_taxonomy; advertising_substantiation_literature,Gray et al. (2018); Mathur et al. (2019); FTC truth-in-advertising materials,Direct same-day action pressure likely to compress deliberation.,1.0,prefilled,1
CUE_003,pressure-risk,temporal_urgency,\btoday only\b,today only,dark_patterns_taxonomy; advertising_substantiation_literature,Gray et al. (2018); Mathur et al. (2019); FTC truth-in-advertising materials,Short window language commonly used to create temporal pressure in promotional copy.,1.0,prefilled,1
CUE_004,pressure-risk,temporal_urgency,\blast chance\b,last chance,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Signals narrowing opportunity and decision urgency.,1.0,prefilled,1
CUE_005,pressure-risk,temporal_urgency,\bdon't wait\b,don't wait,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Discourages deliberation by urging immediate action.,1.0,prefilled,1
CUE_006,pressure-risk,temporal_urgency,\blimited time(?:\s+only)?\b,limited time,dark_patterns_taxonomy; cialdini_principle,Gray et al. (2018); Mathur et al. (2019); Cialdini (2001),Temporal scarcity phrasing used as a risk proxy for decision acceleration.,1.0,prefilled,1
CUE_007,pressure-risk,temporal_urgency,\btime is running out\b,time is running out,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Countdown-like urgency signal that increases perceived immediacy.,1.0,prefilled,1
CUE_008,pressure-risk,temporal_urgency,\b(?:start|act|respond|join)\s+immediately\b,start immediately,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Imperative immediate-action wording; scoped to action contexts to reduce false positives.,1.0,prefilled,1
CUE_009,pressure-risk,scarcity_marking,\blimited spots\b,limited spots,cialdini_principle; dark_patterns_taxonomy,Cialdini (2001); Gray et al. (2018); Mathur et al. (2019),Availability restriction phrase that signals scarcity pressure.,1.0,prefilled,1
CUE_010,pressure-risk,scarcity_marking,\bfew left\b,few left,cialdini_principle; dark_patterns_taxonomy,Cialdini (2001); Gray et al. (2018); Mathur et al. (2019),Low-quantity phrase used as a surface-level scarcity proxy.,1.0,prefilled,1
CUE_011,pressure-risk,scarcity_marking,\bonly a few left\b,only a few left,cialdini_principle; dark_patterns_taxonomy,Cialdini (2001); Gray et al. (2018); Mathur et al. (2019),Explicit low-stock phrasing likely to increase rushed choice.,1.0,prefilled,1
CUE_012,pressure-risk,scarcity_marking,\bfew seats left\b,few seats left,cialdini_principle,Cialdini (2001),Enrollment-style scarcity claim tied to limited remaining capacity.,1.0,prefilled,1
CUE_013,pressure-risk,scarcity_marking,\blimited availability\b,limited availability,cialdini_principle; dark_patterns_taxonomy,Cialdini (2001); Gray et al. (2018); Mathur et al. (2019),General restricted-access phrasing used to signal scarcity.,1.0,prefilled,1
CUE_014,pressure-risk,scarcity_marking,\bexclusive access\b,exclusive access,cialdini_principle,Cialdini (2001),Access restriction cue that can raise exclusion pressure.,1.0,prefilled,1
CUE_015,pressure-risk,scarcity_marking,\bwhile supplies last\b,while supplies last,advertising_substantiation_literature,FTC truth-in-advertising materials,"Classic stock-linked scarcity signal; treated as a risk proxy, not a factual determination.",1.0,prefilled,1
CUE_016,pressure-risk,scarcity_marking,\blimited offer\b,limited offer,cialdini_principle,Cialdini (2001),Offer-limitation phrase associated with scarcity pressure.,1.0,prefilled,1
CUE_017,pressure-risk,fear_loss_framing,\bdon't miss out\b,don't miss out,dark_patterns_taxonomy; cialdini_principle,Gray et al. (2018); Mathur et al. (2019); Cialdini (2001),Loss framing that emphasizes regret from inaction.,1.0,prefilled,1
CUE_018,pressure-risk,fear_loss_framing,\bmiss out\b,miss out,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),FOMO-style loss signal used as a pressure proxy.,1.0,prefilled,1
CUE_019,pressure-risk,fear_loss_framing,\bavoid losing\b,avoid losing,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Explicit loss-aversion phrasing.,1.0,prefilled,1
CUE_020,pressure-risk,fear_loss_framing,\bdon't risk\b,don't risk,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Threat-sensitive framing that links inaction to loss.,1.0,prefilled,1
CUE_021,pressure-risk,fear_loss_framing,\bprotect yourself now\b,protect yourself now,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Urgent self-protection phrase that can combine fear with immediacy.,1.0,prefilled,1
CUE_022,pressure-risk,fear_loss_framing,\bdon't get left behind\b,don't get left behind,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Status-loss framing used to pressure uptake.,1.0,prefilled,1
CUE_023,pressure-risk,fear_loss_framing,\blose access\b,lose access,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Loss-of-opportunity framing that can compress judgment.,1.0,prefilled,1
CUE_024,pressure-risk,fear_loss_framing,\bprevent costly mistakes\b,prevent costly mistakes,advertising_substantiation_literature,FTC truth-in-advertising materials,Problem-avoidance framing that can elevate perceived consequences of inaction.,1.0,prefilled,1
CUE_025,pressure-risk,coercive_cta,\bbuy now\b,buy now,dark_patterns_taxonomy; advertising_substantiation_literature,Gray et al. (2018); Mathur et al. (2019); FTC truth-in-advertising materials,Direct action-forcing CTA commonly associated with high-pressure selling.,1.0,prefilled,1
CUE_026,pressure-risk,coercive_cta,\bsign up now\b,sign up now,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Immediate commitment CTA that reduces deliberation time.,1.0,prefilled,1
CUE_027,pressure-risk,coercive_cta,\bjoin now\b,join now,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Immediate enrollment CTA with compressed decision framing.,1.0,prefilled,1
CUE_028,pressure-risk,coercive_cta,\bclaim your spot now\b,claim your spot now,dark_patterns_taxonomy; cialdini_principle,Gray et al. (2018); Mathur et al. (2019); Cialdini (2001),Hybrid scarcity-plus-CTA phrase that pushes immediate action.,1.0,prefilled,1
CUE_029,pressure-risk,coercive_cta,\bclaim it now\b,claim it now,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Possessive immediate-action phrasing.,1.0,prefilled,1
CUE_030,pressure-risk,coercive_cta,\bdownload now\b,download now,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Immediate acquisition CTA frequently used in performance-driven copy.,1.0,prefilled,1
CUE_031,pressure-risk,coercive_cta,\bget started today\b,get started today,advertising_substantiation_literature,FTC truth-in-advertising materials,Today-bounded action CTA intended to accelerate conversion.,1.0,prefilled,1
CUE_032,pressure-risk,coercive_cta,\bsecure your access now\b,secure your access now,dark_patterns_taxonomy,Gray et al. (2018); Mathur et al. (2019),Action phrase combining immediacy and access pressure.,1.0,prefilled,1
CUE_033,claim-risk,authority_evoking,\bexpert[- ]recommended\b,expert-recommended,cialdini_principle; advertising_substantiation_literature,Cialdini (2001); FTC truth-in-advertising materials,Authority cue that borrows expert credibility without in-text evidence.,1.0,prefilled,1
CUE_034,claim-risk,authority_evoking,\brecommended by experts\b,recommended by experts,cialdini_principle; advertising_substantiation_literature,Cialdini (2001); FTC truth-in-advertising materials,Explicit expert-endorsement phrasing.,1.0,prefilled,1
